Energy from renewable & waste sources,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Direct3 use of energy from renewable & waste sources including electricity,1.647,1.634,1.843,1.862,2.528,2.644,2.581,2.611,3.013,3.148,3.164,3.270,3.575,3.802,4.407,5.026,5.380,5.579,6.463,7.258,7.940,8.846,9.523,11.238,13.332,16.075,16.750,18.656,21.034,22.871,24.472
"Agriculture, forestry and fishing",0.013,0.012,0.013,0.012,0.013,0.012,0.011,0.012,0.013,0.014,0.014,0.012,0.013,0.012,0.014,0.015,0.019,0.022,0.034,0.036,0.043,0.052,0.081,0.127,0.197,0.306,0.389,0.471,0.502,0.524,0.539
Mining and quarrying,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.005,0.004,0.005,0.005,0.007,0.010,0.009,0.010,0.015,0.020,0.020,0.023,0.023,0.030,0.039,0.050,0.049,0.067,0.079,0.080,0.091
Manufacturing,0.589,0.569,0.581,0.565,0.950,1.022,1.005,0.828,0.900,0.830,0.645,0.556,0.679,0.764,0.926,0.687,0.781,0.748,0.937,1.099,1.215,1.448,1.426,1.700,2.220,2.703,2.773,3.423,3.938,4.115,4.645
"Electricity, gas, steam and air conditioning supply",0.325,0.343,0.444,0.552,0.757,0.798,0.817,1.001,1.281,1.476,1.653,1.892,1.987,2.164,2.420,3.100,3.162,3.216,3.468,3.742,4.023,4.318,4.726,5.372,6.323,7.801,8.182,8.332,9.259,10.052,10.349
"Water supply; sewerage, waste management and remediation activities",0.152,0.167,0.166,0.140,0.172,0.185,0.178,0.146,0.144,0.150,0.176,0.184,0.211,0.231,0.248,0.259,0.246,0.275,0.290,0.287,0.306,0.374,0.410,0.483,0.562,0.685,0.820,0.988,1.040,1.071,1.125
Construction,0.007,0.007,0.010,0.008,0.009,0.010,0.007,0.008,0.009,0.010,0.010,0.009,0.012,0.011,0.018,0.021,0.030,0.046,0.093,0.110,0.111,0.126,0.113,0.139,0.179,0.214,0.196,0.272,0.334,0.409,0.413
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.024,0.020,0.024,0.021,0.025,0.025,0.019,0.026,0.030,0.037,0.037,0.029,0.036,0.030,0.048,0.057,0.074,0.099,0.161,0.207,0.203,0.243,0.249,0.317,0.381,0.476,0.482,0.630,0.760,0.904,0.971
Transport and storage,0.007,0.006,0.007,0.008,0.009,0.010,0.007,0.009,0.010,0.010,0.010,0.009,0.012,0.015,0.021,0.028,0.071,0.122,0.268,0.295,0.303,0.282,0.211,0.252,0.299,0.253,0.256,0.266,0.367,0.448,0.495
Accommodation and food services,0.013,0.011,0.013,0.012,0.014,0.013,0.010,0.014,0.015,0.012,0.013,0.010,0.012,0.009,0.008,0.011,0.013,0.018,0.024,0.031,0.030,0.051,0.068,0.091,0.124,0.143,0.137,0.142,0.150,0.188,0.177
Information and communication,0.006,0.005,0.006,0.005,0.006,0.006,0.005,0.007,0.008,0.008,0.008,0.008,0.007,0.007,0.008,0.009,0.012,0.017,0.022,0.027,0.027,0.042,0.046,0.068,0.071,0.081,0.073,0.088,0.098,0.093,0.088
Financial and insurance activities,0.008,0.007,0.008,0.007,0.008,0.008,0.006,0.008,0.009,0.008,0.008,0.008,0.009,0.006,0.011,0.013,0.013,0.017,0.020,0.022,0.025,0.041,0.050,0.058,0.072,0.081,0.078,0.098,0.097,0.094,0.090
Real estate activities,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.004,0.003,0.003,0.003,0.004,0.002,0.002,0.003,0.004,0.006,0.008,0.010,0.008,0.013,0.018,0.018,0.019,0.019,0.019,0.025,0.025,0.023,0.022
"Professional, scientific and technical activities",0.007,0.006,0.007,0.006,0.008,0.007,0.006,0.008,0.010,0.009,0.009,0.008,0.008,0.006,0.010,0.013,0.016,0.019,0.028,0.028,0.030,0.042,0.048,0.064,0.070,0.071,0.068,0.073,0.090,0.098,0.091
