Energy from renewable & waste sources,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Totals,1.647,1.634,1.843,1.862,2.528,2.644,2.581,2.611,3.013,3.148,3.164,3.270,3.575,3.802,4.407,5.026,5.380,5.579,6.463,7.258,7.940,8.846,9.523,11.238,13.332,16.075,16.750,18.656,21.034,22.871,24.472
Hydroelectric power,0.448,0.398,0.467,0.370,0.438,0.416,0.292,0.378,0.440,0.459,0.437,0.348,0.412,0.278,0.418,0.423,0.395,0.437,0.442,0.450,0.309,0.489,0.457,0.400,0.510,0.540,0.460,0.510,0.470,0.500,0.580
"Wind, wave, tidal1",0.001,0.001,0.003,0.019,0.030,0.034,0.042,0.057,0.075,0.073,0.081,0.083,0.108,0.111,0.166,0.250,0.363,0.453,0.612,0.798,0.884,1.373,1.707,2.442,2.748,3.463,3.195,4.268,4.893,5.485,6.481
Solar photovoltaic,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.003,0.021,0.116,0.173,0.349,0.648,0.894,0.985,1.089,1.082,1.131
Geothermal aquifers,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Landfill gas,0.080,0.105,0.155,0.162,0.188,0.199,0.249,0.317,0.402,0.572,0.731,0.836,0.892,1.088,1.327,1.421,1.465,1.547,1.554,1.626,1.725,1.758,1.722,1.711,1.664,1.612,1.556,1.419,1.298,1.202,1.160
Sewage gas,0.138,0.151,0.151,0.158,0.170,0.193,0.193,0.192,0.181,0.189,0.169,0.168,0.174,0.165,0.177,0.206,0.190,0.211,0.230,0.249,0.295,0.318,0.306,0.320,0.343,0.366,0.387,0.398,0.407,0.434,0.440
Biogas from autogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.005,0.005,0.006,0.007,0.009,0.016,0.043,0.088,0.177,0.252,0.367,0.522,0.761,0.925,0.982,1.016,1.021
Municipal solid waste (MSW),0.183,0.185,0.210,0.268,0.385,0.411,0.396,0.465,0.649,0.633,0.678,0.731,0.795,0.816,0.790,0.794,0.856,0.882,0.910,1.089,1.093,1.087,1.260,1.182,1.464,1.952,2.392,2.561,2.932,3.255,3.367
Poultry litter,0.000,0.000,0.016,0.043,0.101,0.101,0.101,0.101,0.112,0.148,0.159,0.199,0.195,0.181,0.164,0.158,0.147,0.152,0.179,0.176,0.182,0.212,0.196,0.207,0.208,0.222,0.227,0.216,0.214,0.222,0.223
Straw,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.015,0.076,0.061,0.085,0.080,0.071,0.075,0.071,0.079,0.076,0.086,0.080,0.092,0.105,0.129,0.167,0.247,0.261,0.259,0.335,0.338
Wood,0.687,0.687,0.736,0.736,1.108,1.182,1.194,0.991,1.077,0.959,0.766,0.716,0.716,0.719,0.778,1.019,0.992,0.960,1.206,1.214,1.398,1.537,1.811,2.518,3.133,4.166,4.164,4.236,4.913,5.370,5.478
Charcoal,0.039,0.036,0.033,0.034,0.034,0.035,0.041,0.038,0.040,0.033,0.036,0.033,0.035,0.037,0.040,0.036,0.035,0.034,0.031,0.033,0.050,0.048,0.049,0.082,0.082,0.080,0.053,0.089,0.107,0.068,0.074
Liquid bio-fuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.173,0.202,0.060,0.028,0.014,0.016,0.016,0.049,0.055,0.003,0.004,0.001,0.001,0.000,0.000,0.000
Bioethanol2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.054,0.086,0.116,0.180,0.356,0.367,0.463,0.492,0.468,0.461,0.452,0.452,0.445,0.443,0.359
Biodiesel2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.016,0.017,0.027,0.139,0.285,0.729,0.859,0.862,0.765,0.522,0.630,0.785,0.554,0.586,0.574,0.939,1.319,1.335
Biomass,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.029,0.074,0.090,0.078,0.183,0.301,0.434,0.393,0.458,0.386,0.322,0.462,0.622,0.674,0.586,0.657,1.064,1.308,1.365,1.751,2.071,2.121,2.469
Cross-boundary Adjustment2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.006,0.013,0.014,0.015,0.014,0.011,0.012,0.013,0.010,0.009,0.009,0.013,0.018,0.017
