Section,Specific_Industry,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,"Products of agriculture, hunting and related services","54,235.4","53,964.7","53,493.7","52,625.7","53,801.6","53,594.4","54,556.6","53,701.3","53,646.4","53,641.9","51,203.5","48,998.1","48,658.9","49,508.4","49,532.6","49,237.8","47,957.2","47,220.4","45,998.4","45,661.8","46,026.0","46,014.9","45,703.9","45,505.5","47,235.2","47,211.2","47,379.0","47,996.2","47,508.7","47,757.0","46,081.3"
A,"Products of forestry, logging and related services",46.8,47.0,47.8,53.8,61.0,52.5,49.5,55.5,53.7,54.3,53.4,51.2,49.9,49.0,45.7,55.9,52.3,64.0,47.0,45.6,44.1,45.5,51.6,53.9,64.6,73.3,88.2,88.3,88.3,93.2,90.0
A,Fish and other fishing products; aquaculture products; support services to fishing,949.6,972.6,"1,002.4","1,058.4","1,078.2","1,123.9","1,090.0","1,068.7","1,108.8","1,006.9",906.5,894.0,838.0,790.8,809.1,802.2,747.8,756.9,731.3,707.1,745.6,728.5,766.0,759.5,910.0,859.9,844.8,863.0,819.9,724.4,672.0
B,Mining of coal and lignite,"23,138.0","23,672.5","23,449.2","21,713.9","14,669.9","15,890.2","14,716.7","14,123.4","12,034.4","10,067.5","8,753.1","7,878.4","7,707.9","6,471.6","5,866.4","4,428.4","4,040.3","3,389.8","3,393.2","3,198.9","3,001.3","2,826.9","2,808.4","1,985.2","1,975.3","1,672.4",800.0,784.0,750.6,688.1,643.1
B,Crude petroleum and natural gas,"22,761.8","22,323.2","23,264.4","25,014.2","26,688.2","27,170.8","28,600.9","28,451.9","29,398.0","28,367.0","27,317.9","28,275.8","27,272.6","25,960.3","25,474.6","24,798.9","22,988.8","22,972.7","21,845.0","21,888.1","21,579.8","19,753.0","18,158.5","17,806.1","17,430.4","19,176.5","18,751.7","18,758.2","18,733.5","18,804.6","17,157.8"
B,Mining of metal ores,25.0,23.7,23.7,24.0,25.1,25.6,16.9,15.5,14.8,14.4,14.1,13.6,12.9,12.4,12.5,11.3,10.7,10.7,9.4,6.9,6.1,4.9,5.4,4.0,4.0,4.2,3.8,4.0,3.8,3.2,2.6
B,Other mining and quarrying products,"1,988.9","1,945.9","1,915.8","1,760.6","1,713.2","1,639.2","1,642.1","1,556.6","1,488.1","1,402.6","1,829.6","1,746.8","1,333.3","1,293.1","1,200.4","1,294.3","1,090.2","1,212.9","1,622.7","1,538.9","1,580.4",996.4,767.8,644.6,845.4,916.4,"1,032.9","1,251.4","1,103.1",816.5,788.6
B,Mining support services,780.1,741.8,678.3,629.8,692.3,785.8,832.3,823.3,851.1,288.8,187.9,151.5,202.1,190.4,183.2,168.5,115.3,115.7,97.7,233.1,123.2,113.2,201.4,205.0,326.4,168.1,308.8,104.2,107.7,124.4,28.2
C,Processing and preserving of meat and production of meat products,978.0,"1,085.3","1,123.7","1,140.7","1,223.0","1,355.8","1,334.6","1,316.1","1,322.5","1,048.7","1,301.8","1,183.9","1,085.7","1,376.4","1,181.6","1,163.7","1,118.9","1,116.9","1,016.0",968.6,"1,019.3","1,011.3",960.9,955.3,"1,022.6","1,004.4",974.6,"1,002.6","1,030.1","1,035.1","1,076.6"
C,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",748.9,717.3,724.6,660.8,632.5,674.2,685.0,677.8,696.5,572.9,641.6,706.4,803.5,924.6,772.8,966.5,956.5,957.4,906.8,872.7,928.2,938.6,919.0,921.7,970.7,955.2,971.2,"1,010.1","1,043.6","1,050.8","1,078.9"
C,Manufacture of vegetable and animal oils and fats,629.2,719.9,815.5,847.4,830.6,676.5,481.4,425.7,348.6,618.3,250.0,375.1,489.1,154.4,141.3,109.6,90.5,87.2,76.7,73.2,77.3,77.7,76.2,78.1,81.4,78.9,82.2,88.4,93.5,95.9,100.4
C,Manufacture of dairy products,"1,218.9","1,141.2","1,106.0","1,044.3",911.1,932.2,953.5,880.9,824.2,800.4,764.5,759.7,861.7,848.8,749.9,771.9,895.9,901.6,840.3,790.1,836.7,827.8,814.8,844.9,863.2,829.0,826.9,863.9,903.5,911.3,895.3
C,"Manufacture of grain mill products, starches and starch products",565.2,529.7,496.5,503.8,548.4,623.9,675.1,635.5,647.8,662.8,692.6,977.6,793.4,473.4,793.6,363.0,655.5,645.4,609.3,577.0,616.4,615.2,605.5,610.4,619.3,589.1,610.2,641.2,664.6,683.0,695.1
C,Manufacture of bakery and farinaceous products,"1,146.9","1,108.8","1,121.1","1,014.6","1,034.9","1,113.1","1,186.4","1,135.0","1,185.0","1,460.7","1,077.2","1,383.2","1,384.4","1,408.1","1,282.6","1,167.9","1,379.3","1,363.1","1,240.0","1,153.2","1,216.1","1,207.5","1,169.0","1,164.6","1,212.9","1,191.9","1,239.6","1,289.4","1,336.4","1,353.0","1,385.4"
C,Manufacture of other food products,"1,877.7","1,939.0","2,051.9","1,861.0","1,782.0","1,765.5","1,828.8","2,007.6","2,050.7","2,678.7","3,129.0","2,370.2","1,365.7","1,680.9","2,203.9","2,379.3","1,391.8","1,401.8","1,335.1","1,293.8","1,377.4","1,385.2","1,364.1","1,403.6","1,443.3","1,356.9","1,367.0","1,440.6","1,492.9","1,498.0","1,502.1"
C,Manufacture of prepared animal feeds,553.7,647.8,702.2,718.3,751.4,671.6,812.4,702.0,641.5,619.3,573.3,596.0,747.5,524.9,555.9,390.8,436.6,451.2,408.5,375.2,400.9,397.9,388.5,396.9,412.2,399.9,382.4,391.7,397.7,396.6,409.0
C,"Manufacture of alcoholic beverages, including spirits, wine, cider, beer and malt","1,928.1","1,946.9","1,891.6","1,823.6","1,860.7","1,807.3","1,698.6","1,516.3","1,273.8","1,216.8","1,179.8","1,312.0","1,616.7","1,826.7","1,454.0","1,417.8","1,481.0","1,478.6","1,426.8","1,160.5","1,247.4","1,253.5","1,254.6","1,281.2","1,319.4","1,285.0","1,303.9","1,397.2","1,454.7","1,473.1","1,498.3"
C,Manufacture of soft drinks: production of mineral waters and other bottled waters,245.1,227.7,223.5,208.9,206.6,208.9,189.5,170.7,168.8,167.9,191.0,202.4,184.8,166.4,170.7,183.7,193.5,189.1,170.1,136.7,136.9,134.2,128.2,125.0,128.9,122.8,123.2,127.0,127.3,129.1,127.7
C,Tobacco products,71.5,83.6,88.7,82.6,94.9,88.7,103.5,90.8,73.7,74.1,122.4,38.4,66.8,27.2,40.5,30.7,30.2,29.7,27.2,26.1,25.7,26.0,24.2,23.3,25.0,24.6,24.3,25.5,26.4,27.2,28.2
C,Textiles,"2,265.1","2,633.2","2,572.1","2,234.7","1,783.2","1,740.7","1,562.6","1,577.7","1,751.7","1,852.1","1,998.6","2,030.3","1,936.2","1,975.1","1,929.0","2,003.0","1,863.2","1,650.5","1,690.3","1,314.2","1,237.6","1,280.1","1,179.7","1,169.8","1,209.3","1,022.9","1,024.5","1,021.8","1,029.0","1,003.6",995.7
